Supplier_Name,V_Price,V_Turnover,V_Shelf
Ainyx,0.3,0.1393939393939394,0.24003322259136212
Aivee,0.2631578947368421,0.10303030303030303,0.2574750830564784
Avamm,0.2631578947368421,0.06262626262626263,0.14950166112956811
Avaveo,0.2982456140350877,0.09090909090909091,0.1569767441860465
Babbleopia,0.0,0.05050505050505051,0.11710963455149502
Babbleset,0.18421052631578944,0.10707070707070708,0.2724252491694352
Babblestorm,0.18421052631578944,0.12929292929292932,0.31727574750830567
BlogXS,0.12982456140350876,0.024242424242424246,0.08388704318936877
Blognation,0.1280701754385965,0.14949494949494951,0.2574750830564784
Brainverse,0.017543859649122806,0.04040404040404041,0.22591362126245848
Brightbean,0.2982456140350877,0.197979797979798,0.05149501661129568
Brightdog,0.24561403508771928,0.09090909090909091,0.3372093023255814
Bubblebox,0.17543859649122806,0.05050505050505051,0.3222591362126246
Bubblemix,0.14035087719298245,0.04040404040404041,0.07475083056478406
Camido,0.017543859649122806,0.04848484848484849,0.061461794019933555
Centidel,0.287719298245614,0.13737373737373737,0.04318936877076412
Cogilith,0.2982456140350877,0.07474747474747476,0.2956810631229236
Dabjam,0.25614035087719295,0.10707070707070708,0.23338870431893688
Dabshots,0.19999999999999998,0.044444444444444446,0.10299003322259136
Dabtype,0.19298245614035087,0.14545454545454548,0.4053156146179402
Dazzlesphere,0.28947368421052627,0.08181818181818183,0.30606312292358806
Demizz,0.2982456140350877,0.08080808080808081,0.15614617940199335
Devbug,0.2631578947368421,0.046464646464646465,0.4053156146179402
Devpoint,0.2807017543859649,0.12525252525252525,0.2956810631229236
Eidel,0.2982456140350877,0.04848484848484849,0.3081395348837209
Eimbee,0.10087719298245612,0.08787878787878789,0.16154485049833886
Feedfire,0.23684210526315785,0.03737373737373738,0.31935215946843853
Feednation,0.19298245614035087,0.08282828282828283,0.12209302325581395
Fivebridge,0.2631578947368421,0.09494949494949495,0.35714285714285715
Flipopia,0.2982456140350877,0.15555555555555556,0.287375415282392
Geba,0.24561403508771928,0.11414141414141415,0.2898671096345515
Gigaclub,0.25438596491228066,0.010101010101010102,0.37624584717607973
Gigashots,0.2982456140350877,0.08484848484848485,0.18272425249169436
Jabberstorm,0.2666666666666666,0.12525252525252525,0.19850498338870431
Jaxworks,0.25438596491228066,0.0,0.41943521594684385
Jazzy,0.2982456140350877,0.14343434343434344,0.3380398671096346
Katz,0.19298245614035087,0.07676767676767676,0.30564784053156147
Kayveo,0.008771929824561403,0.1898989898989899,0.2931893687707641
Latz,0.19999999999999998,0.14343434343434344,0.0755813953488372
Lazz,0.17543859649122806,0.17777777777777778,0.22009966777408638
Linklinks,0.19298245614035087,0.03434343434343434,0.42940199335548174
Linktype,0.18421052631578944,0.14949494949494951,0.023255813953488372
Livepath,0.2982456140350877,0.1696969696969697,0.3945182724252492
Livetube,0.27192982456140347,0.09696969696969698,0.32475083056478404
Meembee,0.19298245614035087,0.13737373737373737,0.05149501661129568
Meevee,0.2982456140350877,0.10505050505050506,0.14534883720930233
Mudo,0.25438596491228066,0.014141414141414142,0.40282392026578073
Mydeo,0.2807017543859649,0.020202020202020204,0.4219269102990033
Mydo,0.2982456140350877,0.15555555555555556,0.24833887043189368
Mynte,0.28947368421052627,0.1,0.22799003322259137
Oyondu,0.2631578947368421,0.05656565656565657,0.32059800664451826
Photobean,0.2807017543859649,0.03838383838383838,0.23172757475083056
Photobug,0.2807017543859649,0.05050505050505051,0.31478405315614616
Pixonyx,0.18830409356725142,0.08484848484848485,0.19407530454042082
Podcat,0.008771929824561403,0.17575757575757578,0.19102990033222592
Quatz,0.26023391812865493,0.12457912457912457,0.22674418604651161
Quinu,0.2631578947368421,0.0060606060606060615,0.11544850498338871
Quire,0.19824561403508772,0.0787878787878788,0.15780730897009967
Realblab,0.2982456140350877,0.1898989898989899,0.20764119601328904
Realcube,0.19298245614035087,0.03636363636363637,0.19186046511627908
Rhyloo,0.25438596491228066,0.18181818181818182,0.5
Riffwire,0.2631578947368421,0.16161616161616163,0.3081395348837209
Shuffledrive,0.017543859649122806,0.010101010101010102,0.25083056478405313
Shufflester,0.23859649122807014,0.08888888888888889,0.30481727574750833
Shuffletag,0.13157894736842105,0.09090909090909091,0.0888704318936877
Skaboo,0.2982456140350877,0.11313131313131314,0.4019933554817276
Skidoo,0.22982456140350874,0.08585858585858586,0.06852159468438539
Skimia,0.19473684210526312,0.0060606060606060615,0.2367109634551495
Skyba,0.2807017543859649,0.05858585858585859,0.22009966777408638
Skyndu,0.2982456140350877,0.15959595959595962,0.31976744186046513
Skynoodle,0.2982456140350877,0.13737373737373737,0.04152823920265781
